id_partida,ano_copa,data_hora,id_fase,fase_grupo,tipo_fase,id_estadio,id_time1,time1,img_time1,gols_time1,placar,gols_time2,id_time2,time2,img_time2,win_conditions,publico_partida,arbitro,assistente1,assistente2
8741,1998,16 Jun 1998 - 17:30 ,2010,Grupo A,Fase de Grupos,19,72,SCO,https://api.fifa.com/api/v3/picture/flags-sq-5/SCO,1,1-1,1,59,NOR,https://api.fifa.com/api/v3/picture/flags-sq-5/NOR, ,31800,VAGNER Laszlo (HUN),AMLER Evzen (CZE),RAUSIS Laurent (SUI)
8742,1998,16 Jun 1998 - 21:00 ,2010,Grupo A,Fase de Grupos,127,4,BRA,https://api.fifa.com/api/v3/picture/flags-sq-5/BRA,3,3-0,0,54,MAR,https://api.fifa.com/api/v3/picture/flags-sq-5/MAR, ,35500,LEVNIKOV Nikolai (RUS),DUPANOV Yuri (BLR),WARREN Mark (ENG)
8743,1998,17 Jun 1998 - 17:30 ,2020,Grupo B,Fase de Grupos,129,7,CHI,https://api.fifa.com/api/v3/picture/flags-sq-5/CHI,1,1-1,1,21,AUT,https://api.fifa.com/api/v3/picture/flags-sq-5/AUT, ,30600,EL GHANDOUR Gamal (EGY),GHADANFARI Hussain (KUW),TRESACO GRACIA Fernando (ESP)
8744,1998,17 Jun 1998 - 21:00 ,2020,Grupo B,Fase de Grupos,125,2,ITA,https://api.fifa.com/api/v3/picture/flags-sq-5/ITA,3,3-0,0,26,CMR,https://api.fifa.com/api/v3/picture/flags-sq-5/CMR, ,29800,LENNIE Edward (AUS),FRED Lencie (VAN),ROSSI Claudio (ARG)
8746,1998,18 Jun 1998 - 17:30 ,2030,Grupo C,Fase de Grupos,15,15,RSA,https://api.fifa.com/api/v3/picture/flags-sq-5/RSA,1,1-1,1,35,DEN,https://api.fifa.com/api/v3/picture/flags-sq-5/DEN, ,33500,TORO RENDON John (COL),ARANGO Jorge Luis (COL),GALVAN Celestino (PAR)
8745,1998,18 Jun 1998 - 21:00 ,2030,Grupo C,Fase de Grupos,124,3,FRA,https://api.fifa.com/api/v3/picture/flags-sq-5/FRA,4,4-0,0,71,KSA,https://api.fifa.com/api/v3/picture/flags-sq-5/KSA, ,80000,BRIZIO CARTER Arturo (MEX),SALINAS Reynaldo (HON),TORRES ZUNIGA Luis (CRC)
8747,1998,19 Jun 1998 - 17:30 ,2040,Grupo D,Fase de Grupos,12,57,NGA,https://api.fifa.com/api/v3/picture/flags-sq-5/NGA,1,1-0,0,24,BUL,https://api.fifa.com/api/v3/picture/flags-sq-5/BUL, ,45500,SANCHEZ YANTEN Mario (CHI),DIAZ GALVEZ Jorge (CHI),PINTO Arnaldo (BRA)
8748,1998,19 Jun 1998 - 21:00 ,2040,Grupo D,Fase de Grupos,129,12,ESP,https://api.fifa.com/api/v3/picture/flags-sq-5/ESP,0,0-0,0,61,PAR,https://api.fifa.com/api/v3/picture/flags-sq-5/PAR, ,30600,McLEOD Ian (RSA),SOLDATOS Aristidis Chris (RSA),POWELL Owen (JAM)
8751,1998,20 Jun 1998 - 14:30 ,2080,Grupo H,Fase de Grupos,127,17,JPN,https://api.fifa.com/api/v3/picture/flags-sq-5/JPN,0,0-1,1,31,CRO,https://api.fifa.com/api/v3/picture/flags-sq-5/CRO, ,35500,RAMDHAN Ramesh (TRI),GONZALES Merere (TRI),SALIE Achmat (RSA)
8750,1998,20 Jun 1998 - 17:30 ,2050,Grupo E,Fase de Grupos,19,22,BEL,https://api.fifa.com/api/v3/picture/flags-sq-5/BEL,2,2-2,2,9,MEX,https://api.fifa.com/api/v3/picture/flags-sq-5/MEX, ,31800,DALLAS Hugh (SCO),FOLEY Eddie (IRL),AL MUSAWI Mohamed (OMA)
8749,1998,20 Jun 1998 - 21:00 ,2050,Grupo E,Fase de Grupos,16,55,NED,https://api.fifa.com/api/v3/picture/flags-sq-5/NED,5,5-0,0,14,KOR,https://api.fifa.com/api/v3/picture/flags-sq-5/KOR, ,55000,WOJCIK Ryszard (POL),POCIEGIEL Jacek (POL),DUPANOV Yuri (BLR)
8753,1998,21 Jun 1998 - 14:30 ,2060,Grupo F,Fase de Grupos,126,10,GER,https://api.fifa.com/api/v3/picture/flags-sq-5/GER,2,2-2,2,83,YUG,https://api.fifa.com/api/v3/picture/flags-sq-5/YUG, ,38100,NIELSEN Kim Milton (DEN),ZAMMIT Emanuel (MLT),VAN DEN BROECK Marc (BEL)
8752,1998,21 Jun 1998 - 17:30 ,2080,Grupo H,Fase de Grupos,12,11,ARG,https://api.fifa.com/api/v3/picture/flags-sq-5/ARG,5,5-0,0,51,JAM,https://api.fifa.com/api/v3/picture/flags-sq-5/JAM, ,45500,PEDERSEN Rune (NOR),NILSSON Mikael (SWE),MAZZEI Gennaro (ITA)
8754,1998,21 Jun 1998 - 21:00 ,2060,Grupo F,Fase de Grupos,128,13,USA,https://api.fifa.com/api/v3/picture/flags-sq-5/USA,1,1-2,2,48,IRN,https://api.fifa.com/api/v3/picture/flags-sq-5/IRN, ,39100,MEIER Urs (SUI),RAUSIS Laurent (SUI),GRIGORESCU Nicolae (ROU)
